Spell Filter by Denny Edwards (denny.edwards@gmail.com)
A | B | C | D | E | F | G | H | I | J | K | L | M N | O | P | Q | R | S | T | U | V | W | X | Y | Z
0 | 1 | 2 | 3 | 4 | 5 | 6
To filter the table, enter text and press Enter. You can use '(first word|second word)' without the quotes to find either word.
Clear all filters





Spell Name	Level	M/F	Description	Source
Dancing Lights	0	 	Creates torches or other lights.	CRB
Daze	0	 	Humanoid creature of 4 HD or less loses next action.	CRB
Detect Magic	0	 	Detects spells and magic items within 60 ft.	CRB
Flare	0	 	Dazzles one creature (–1 on attack rolls).	CRB
Ghost Sound	0	 	Figment sounds.	CRB
Haunted Fey Aspect	0	 	You surround yourself with disturbing illusions.	UC
Know Direction	0	 	You discern north.	CRB
Light	0	 	Object shines like a torch.	CRB
Lullaby	0	 	Makes subject drowsy (–5 on Perception checks, –2 on Will saves against sleep.)	CRB
Mage Hand	0	 	5-pound telekinesis.	CRB
Mending	0	 	Makes minor repairs on an object.	CRB
Message	0	 	Whisper conversation at distance.	CRB
Open/Close	0	 	Opens or closes small or light things.	CRB
Prestidigitation	0	 	Performs minor tricks.	CRB
Read Magic	0	 	Read scrolls and spellbooks.	CRB
Resistance	0	 	Subject gains +1 on saving throws.	CRB
Sift	0	 	See area as though examining it.	APG
Spark	0	 	Ignites flammable objects.	APG
Summon Instrument	0	 	Summons one musical instrument.	CRB
Unwitting Ally	0	 	Subject is considered ally for 1 round.	APG
Abundant Ammunition	1	 	Replaces nonmagical ammunition every round.	UC
Adjuring Step	1	 	You can move slowly and safely and still cast spells, until you move quickly, make an attack, or cast a harmful spell.	UC
Adoration	1	 	You gain a bonus on Diplomacy checks and performance combat checks.	UC
Alarm	1	 	Wards an area for 2 hours/level.	CRB
Animate Rope	1	 	Makes a rope move at your command.	CRB
Anticipate Peril	1	 	Target gains a bonus on one initiative check.	UM
Abstemiousness	1	 	 	FoB
Beguiling Gift	1	 	Subject immediately accepts an offered item and uses it.	APG
Borrow Skill	1	 	Make a skill check using another’s ranks.	APG
Cause Fear	1	 	One creature of 5 HD or less flees for 1d4 rounds.	CRB
Charm Person	1	 	Makes one person your friend.	CRB
Chord of Shards	1	 	Performance deals 2d6 piercing damage.	UM
Compel Hostility	1	 	Compels opponents to attack you instead of your allies.	UC
Comprehend Languages	1	 	You understand all languages.	CRB
Confusion, Lesser	1	 	One creature is confused for 1 round.	CRB
Cure Light Wounds	1	 	Cures 1d8 damage + 1/level (max +5).	CRB
